Thoi_Gian_Quet,Tuyen_Duong,Chieu_Dai_Tong_Met,Chieu_Dai_Doan_Ket_Xe_Met,Tgian_Ly_Tuong_Giay,Tgian_Lich_Su_Giay,Tgian_Su_Co_Realtime_Giay,Tgian_Di_Thuc_Te_Giay,Do_Tre_Tong_Giay,So_Diem_Ket_Xe,Thoi_Gian_Xuat_Phat,Thoi_Gian_Den_Noi
2026-05-17 18:07:11,Trung_Tam_Q1_di_Q7,7956,0,978,978,951,951,0,0,2026-05-18T01:07:12+07:00,2026-05-18T01:23:03+07:00
2026-05-17 18:07:13,San_Bay_Tân_Sơn_Nhất_di_Q1,7293,0,1088,1088,1088,1088,0,0,2026-05-18T01:07:14+07:00,2026-05-18T01:25:22+07:00
2026-05-17 18:07:15,Cầu_Sài_Gòn_di_Ngã_Tư_Hàng_Xanh,5553,0,576,576,576,576,0,0,2026-05-18T01:07:15+07:00,2026-05-18T01:16:51+07:00
2026-05-17 18:07:16,Vo_Van_Kiet_Q1,5812,0,749,749,749,749,0,0,2026-05-18T01:07:17+07:00,2026-05-18T01:19:46+07:00
2026-05-17 18:07:18,Tran_Hung_Dao_Q1,2394,0,374,374,374,374,0,0,2026-05-18T01:07:19+07:00,2026-05-18T01:13:33+07:00
2026-05-17 18:07:20,Ton_Duc_Thang_Q1,2461,0,345,345,345,345,0,0,2026-05-18T01:07:20+07:00,2026-05-18T01:13:05+07:00
2026-05-17 18:07:22,Nguyen_Thi_Minh_Khai_Q1,5695,0,960,960,960,960,0,0,2026-05-18T01:07:22+07:00,2026-05-18T01:23:22+07:00
2026-05-17 18:07:23,Dien_Bien_Phu_Q1,1283,0,200,200,200,200,0,0,2026-05-18T01:07:24+07:00,2026-05-18T01:10:44+07:00
2026-05-17 18:07:25,Vo_Thi_Sau_Q1,1413,0,263,263,263,263,0,0,2026-05-18T01:07:26+07:00,2026-05-18T01:11:49+07:00
2026-05-17 18:07:27,Nam_Ky_Khoi_Nghia_Q1,3887,0,801,801,801,801,0,0,2026-05-18T01:07:27+07:00,2026-05-18T01:20:48+07:00
2026-05-17 18:07:29,Nguyen_Hue_Q1,714,0,141,141,141,141,0,0,2026-05-18T01:07:29+07:00,2026-05-18T01:09:50+07:00
2026-05-17 18:07:30,Le_Loi_Q1,1374,0,326,326,326,326,0,0,2026-05-18T01:07:31+07:00,2026-05-18T01:12:57+07:00
2026-05-17 18:07:32,Le_Duan_Q1,1523,0,364,364,364,364,0,0,2026-05-18T01:07:32+07:00,2026-05-18T01:13:36+07:00
2026-05-17 18:07:34,Hai_Ba_Trung_Q1,3541,0,603,603,603,603,0,0,2026-05-18T01:07:34+07:00,2026-05-18T01:17:37+07:00
2026-05-17 18:07:36,Pasteur_Q1,3251,0,688,688,688,688,0,0,2026-05-18T01:07:36+07:00,2026-05-18T01:19:04+07:00
2026-05-17 18:07:37,Nguyen_Thai_Hoc_Q1,2848,0,588,588,588,588,0,0,2026-05-18T01:07:38+07:00,2026-05-18T01:17:26+07:00
2026-05-17 18:07:39,Nguyen_Dinh_Chieu_Q1,4172,0,762,762,762,762,0,0,2026-05-18T01:07:39+07:00,2026-05-18T01:20:21+07:00
2026-05-17 18:07:41,Ly_Tu_Trong_Q1,2987,0,516,516,516,516,0,0,2026-05-18T01:07:41+07:00,2026-05-18T01:16:17+07:00
2026-05-17 18:07:42,Le_Thanh_Ton_Q1,5239,0,669,669,669,669,0,0,2026-05-18T01:07:43+07:00,2026-05-18T01:18:52+07:00
2026-05-17 18:07:44,Bui_Thi_Xuan_Q1,822,0,132,132,132,132,0,0,2026-05-18T01:07:45+07:00,2026-05-18T01:09:57+07:00
2026-05-17 18:07:46,Nguyen_Trai_Q1,2030,0,325,325,325,325,0,0,2026-05-18T01:07:46+07:00,2026-05-18T01:13:11+07:00
2026-05-17 18:07:47,Ham_Nghi_Q1,1118,0,187,187,187,187,0,0,2026-05-18T01:07:48+07:00,2026-05-18T01:10:55+07:00
2026-05-17 18:07:49,Dinh_Tien_Hoang_Q1,1446,0,325,325,325,325,0,0,2026-05-18T01:07:50+07:00,2026-05-18T01:13:15+07:00
2026-05-17 18:07:51,Mac_Dinh_Chi_Q1,1306,0,257,257,257,257,0,0,2026-05-18T01:07:51+07:00,2026-05-18T01:12:08+07:00
2026-05-17 18:07:53,Phung_Khac_Khoan_Q1,1937,0,325,325,325,325,0,0,2026-05-18T01:07:53+07:00,2026-05-18T01:13:18+07:00
2026-05-17 18:07:54,Nguyen_Binh_Khiem_Q1,1697,0,297,297,297,297,0,0,2026-05-18T01:07:55+07:00,2026-05-18T01:12:52+07:00
2026-05-17 18:07:56,Cong_Quynh_Q1,976,0,162,162,162,162,0,0,2026-05-18T01:07:56+07:00,2026-05-18T01:10:38+07:00
2026-05-17 18:07:58,Cach_Mang_Thang_Tam_Q1,2424,0,512,514,514,514,0,0,2026-05-18T01:07:58+07:00,2026-05-18T01:16:32+07:00
2026-05-17 18:07:59,Dong_Khoi_Q1,1457,0,300,300,300,300,0,0,2026-05-18T01:08:00+07:00,2026-05-18T01:13:00+07:00
2026-05-17 18:39:08,Trung_Tam_Q1_di_Q7,7956,0,978,978,950,950,0,0,2026-05-18T01:39:08+07:00,2026-05-18T01:54:58+07:00
2026-05-17 18:39:09,San_Bay_Tân_Sơn_Nhất_di_Q1,7293,0,1088,1088,1088,1088,0,0,2026-05-18T01:39:10+07:00,2026-05-18T01:57:18+07:00
2026-05-17 18:39:11,Cầu_Sài_Gòn_di_Ngã_Tư_Hàng_Xanh,5553,0,576,576,576,576,0,0,2026-05-18T01:39:12+07:00,2026-05-18T01:48:48+07:00
2026-05-17 18:39:13,Vo_Van_Kiet_Q1,5812,0,749,749,749,749,0,0,2026-05-18T01:39:13+07:00,2026-05-18T01:51:42+07:00
2026-05-17 18:39:14,Tran_Hung_Dao_Q1,2394,0,374,374,374,374,0,0,2026-05-18T01:39:15+07:00,2026-05-18T01:45:29+07:00
2026-05-17 18:39:16,Ton_Duc_Thang_Q1,2461,0,345,345,345,345,0,0,2026-05-18T01:39:17+07:00,2026-05-18T01:45:02+07:00
2026-05-17 18:39:18,Nguyen_Thi_Minh_Khai_Q1,5695,0,960,960,960,960,0,0,2026-05-18T01:39:18+07:00,2026-05-18T01:55:18+07:00
2026-05-17 18:39:20,Dien_Bien_Phu_Q1,1283,0,200,200,200,200,0,0,2026-05-18T01:39:20+07:00,2026-05-18T01:42:40+07:00
2026-05-17 18:39:21,Vo_Thi_Sau_Q1,1413,0,263,263,263,263,0,0,2026-05-18T01:39:22+07:00,2026-05-18T01:43:45+07:00
2026-05-17 18:39:23,Nam_Ky_Khoi_Nghia_Q1,3887,0,801,801,801,801,0,0,2026-05-18T01:39:24+07:00,2026-05-18T01:52:45+07:00
2026-05-17 18:39:25,Nguyen_Hue_Q1,714,0,141,141,141,141,0,0,2026-05-18T01:39:25+07:00,2026-05-18T01:41:46+07:00
2026-05-17 18:39:27,Le_Loi_Q1,1374,0,326,326,326,326,0,0,2026-05-18T01:39:27+07:00,2026-05-18T01:44:53+07:00
2026-05-17 18:39:28,Le_Duan_Q1,1523,0,364,364,364,364,0,0,2026-05-18T01:39:29+07:00,2026-05-18T01:45:33+07:00
2026-05-17 18:39:30,Hai_Ba_Trung_Q1,3541,0,603,603,603,603,0,0,2026-05-18T01:39:31+07:00,2026-05-18T01:49:34+07:00
2026-05-17 18:39:32,Pasteur_Q1,3251,0,688,688,688,688,0,0,2026-05-18T01:39:32+07:00,2026-05-18T01:51:00+07:00
2026-05-17 18:39:33,Nguyen_Thai_Hoc_Q1,2848,0,588,588,588,588,0,0,2026-05-18T01:39:34+07:00,2026-05-18T01:49:22+07:00
2026-05-17 18:39:35,Nguyen_Dinh_Chieu_Q1,4172,0,762,762,762,762,0,0,2026-05-18T01:39:36+07:00,2026-05-18T01:52:18+07:00
2026-05-17 18:39:37,Ly_Tu_Trong_Q1,2987,0,516,516,516,516,0,0,2026-05-18T01:39:37+07:00,2026-05-18T01:48:13+07:00
2026-05-17 18:39:39,Le_Thanh_Ton_Q1,5239,0,669,669,669,669,0,0,2026-05-18T01:39:39+07:00,2026-05-18T01:50:48+07:00
2026-05-17 18:39:41,Bui_Thi_Xuan_Q1,822,0,132,132,132,132,0,0,2026-05-18T01:39:41+07:00,2026-05-18T01:41:53+07:00
2026-05-17 18:39:42,Nguyen_Trai_Q1,2030,0,325,325,325,325,0,0,2026-05-18T01:39:43+07:00,2026-05-18T01:45:08+07:00
2026-05-17 18:39:44,Ham_Nghi_Q1,1118,0,187,187,187,187,0,0,2026-05-18T01:39:44+07:00,2026-05-18T01:42:51+07:00
2026-05-17 18:39:46,Dinh_Tien_Hoang_Q1,1446,0,325,325,325,325,0,0,2026-05-18T01:39:46+07:00,2026-05-18T01:45:11+07:00
2026-05-17 18:39:47,Mac_Dinh_Chi_Q1,1306,0,257,257,257,257,0,0,2026-05-18T01:39:48+07:00,2026-05-18T01:44:05+07:00
2026-05-17 18:39:49,Phung_Khac_Khoan_Q1,1937,0,325,325,325,325,0,0,2026-05-18T01:39:50+07:00,2026-05-18T01:45:15+07:00
2026-05-17 18:39:51,Nguyen_Binh_Khiem_Q1,1697,0,297,297,297,297,0,0,2026-05-18T01:39:51+07:00,2026-05-18T01:44:48+07:00
2026-05-17 18:39:53,Cong_Quynh_Q1,976,0,162,162,162,162,0,0,2026-05-18T01:39:53+07:00,2026-05-18T01:42:35+07:00
2026-05-17 18:39:54,Cach_Mang_Thang_Tam_Q1,2424,0,512,514,514,514,0,0,2026-05-18T01:39:55+07:00,2026-05-18T01:48:29+07:00
2026-05-17 18:39:56,Dong_Khoi_Q1,1457,0,300,300,300,300,0,0,2026-05-18T01:39:56+07:00,2026-05-18T01:44:56+07:00
2026-05-17 19:02:57,Trung_Tam_Q1_di_Q7,7956,0,978,978,970,970,0,0,2026-05-18T02:02:58+07:00,2026-05-18T02:19:08+07:00
2026-05-17 19:02:59,San_Bay_Tân_Sơn_Nhất_di_Q1,7293,0,1088,1088,1088,1088,0,0,2026-05-18T02:03:00+07:00,2026-05-18T02:21:08+07:00
2026-05-17 19:03:01,Cầu_Sài_Gòn_di_Ngã_Tư_Hàng_Xanh,5553,0,576,576,576,576,0,0,2026-05-18T02:03:01+07:00,2026-05-18T02:12:37+07:00
2026-05-17 19:03:03,Vo_Van_Kiet_Q1,5812,0,749,749,749,749,0,0,2026-05-18T02:03:03+07:00,2026-05-18T02:15:32+07:00
2026-05-17 19:03:05,Tran_Hung_Dao_Q1,2394,0,374,374,374,374,0,0,2026-05-18T02:03:05+07:00,2026-05-18T02:09:19+07:00
2026-05-17 19:03:06,Ton_Duc_Thang_Q1,2461,0,345,345,345,345,0,0,2026-05-18T02:03:07+07:00,2026-05-18T02:08:52+07:00
2026-05-17 19:03:08,Nguyen_Thi_Minh_Khai_Q1,5695,0,960,960,960,960,0,0,2026-05-18T02:03:08+07:00,2026-05-18T02:19:08+07:00
2026-05-17 19:03:10,Dien_Bien_Phu_Q1,1283,0,200,200,200,200,0,0,2026-05-18T02:03:10+07:00,2026-05-18T02:06:30+07:00
2026-05-17 19:03:12,Vo_Thi_Sau_Q1,1413,0,263,263,263,263,0,0,2026-05-18T02:03:12+07:00,2026-05-18T02:07:35+07:00
2026-05-17 19:03:13,Nam_Ky_Khoi_Nghia_Q1,3887,0,801,801,801,801,0,0,2026-05-18T02:03:14+07:00,2026-05-18T02:16:35+07:00
2026-05-17 19:03:15,Nguyen_Hue_Q1,714,0,141,141,141,141,0,0,2026-05-18T02:03:15+07:00,2026-05-18T02:05:36+07:00
2026-05-17 19:03:17,Le_Loi_Q1,1374,0,326,326,326,326,0,0,2026-05-18T02:03:17+07:00,2026-05-18T02:08:43+07:00
2026-05-17 19:03:18,Le_Duan_Q1,1523,0,364,364,364,364,0,0,2026-05-18T02:03:19+07:00,2026-05-18T02:09:23+07:00
2026-05-17 19:03:20,Hai_Ba_Trung_Q1,3541,0,603,603,603,603,0,0,2026-05-18T02:03:21+07:00,2026-05-18T02:13:24+07:00
2026-05-17 19:03:22,Pasteur_Q1,3251,0,688,688,688,688,0,0,2026-05-18T02:03:22+07:00,2026-05-18T02:14:50+07:00
2026-05-17 19:03:24,Nguyen_Thai_Hoc_Q1,1963,235,376,376,409,409,33,1,2026-05-18T02:03:24+07:00,2026-05-18T02:10:13+07:00
2026-05-17 19:03:25,Nguyen_Dinh_Chieu_Q1,4172,0,762,762,762,762,0,0,2026-05-18T02:03:26+07:00,2026-05-18T02:16:08+07:00
2026-05-17 19:03:27,Ly_Tu_Trong_Q1,2987,0,516,516,516,516,0,0,2026-05-18T02:03:27+07:00,2026-05-18T02:12:03+07:00
2026-05-17 19:03:29,Le_Thanh_Ton_Q1,5239,0,669,669,669,669,0,0,2026-05-18T02:03:29+07:00,2026-05-18T02:14:38+07:00
2026-05-17 19:03:31,Bui_Thi_Xuan_Q1,822,0,132,132,132,132,0,0,2026-05-18T02:03:31+07:00,2026-05-18T02:05:43+07:00
2026-05-17 19:03:32,Nguyen_Trai_Q1,2030,0,325,325,325,325,0,0,2026-05-18T02:03:33+07:00,2026-05-18T02:08:58+07:00
2026-05-17 19:03:34,Ham_Nghi_Q1,1118,0,187,187,187,187,0,0,2026-05-18T02:03:35+07:00,2026-05-18T02:06:42+07:00
